39,100,0.002,0.0005,225,0.4,0,0,0,0,34975,904,0
19,100,0.002,0.0001,375,0.3,0,0,0,0,50407,885,0
18,100,0.004,0.0004,150,0.4,0,0,0,1,37428,1686,0
23,100,0.004,0.0002,300,0.3,0,0,0,0,53113,1742,0
36,100,0.004,0.0002,150,0.6,0,0,0,4,18989,1638,0
12,100,0.002,0.0001,150,0.4,0,0,0,0,34197,851,0
20,137.5,0.0025,0.0002,225,0.3,0,0,0,1,91577,1521,0
14,100,0.002,0.0005,375,0.7,0,0,0,2,17049,846,0
32,137.5,0.0035,0.0001,225,0.4,0,0,0,2,66711,2049,0
34,100,0.0035,0.0001,450,0.6,0,0,0,2,19931,1416,0
15,100,0.004,0.0004,450,0.6,0,0,0,3,20389,1662,0
30,137.5,0.0035,0.0005,375,0.3,0,0,0,4,97693,2074,0
3,100,0.002,0.0001,225,0.7,0,0,0,1,16988,822,0
6,100,0.0025,0.0004,450,0.4,0,0,0,1,31404,1085,0
7,100,0.0035,0.0005,225,0.7,0,0,0,2,16612,1471,0
42,212.5,0.0035,0.0005,150,0.3,0,0,0,2,2.1135e+05,3167,0
28,250,0.002,0.0004,150,0.3,0,0,0,4,2.7642e+05,2123,0
31,137.5,0.004,0.0001,450,0.4,0,0,0,1,65748,2330,0
10,137.5,0.0025,0.0004,150,0.6,0,0,0,3,41026,1374,0
22,175,0.003,0.0003,300,0.5,0,0,0,3,80433,2195,0
21,137.5,0.004,0.0002,375,0.7,0,0,0,4,38488,2232,0
40,212.5,0.002,0.0004,450,0.3,0,0,0,0,2.0791e+05,1826,0
29,212.5,0.002,0.0002,375,0.4,0,0,0,1,1.41e+05,1808,0
8,137.5,0.002,0.0002,450,0.6,0,0,0,1,39837,1129,0
35,250,0.004,0.0002,150,0.4,0,0,0,4,1.961e+05,4181,0
2,212.5,0.0025,0.0002,225,0.3,0,0,0,0,2.0894e+05,2285,0
1,175,0.003,0.0003,300,0.5,0,0,0,3,80433,2195,0
41,212.5,0.002,0.0005,225,0.7,0,0,0,8,1.0626e+05,1735,0
17,212.5,0.004,0.0001,225,0.6,0,0,0,9,1.0922e+05,3426,0
9,175,0.003,0.0003,300,0.5,0,0,0,3,80433,2195,0
38,212.5,0.004,0.0001,375,0.3,0,0,0,4,2.1212e+05,3624,0
16,212.5,0.0025,0.0001,375,0.7,0,0,0,11,96194,2146,0
26,250,0.0035,0.0004,375,0.3,0,0,0,3,2.8311e+05,3740,0
25,250,0.0035,0.0002,150,0.7,0,0,0,16,1.3869e+05,3509,0
13,250,0.004,0.0004,225,0.6,0,0,0,12,1.4245e+05,4005,0
